Adam Clayton Powell Jr. Boulevard	148	2141026548	40.8235315,-73.9375898
Adam Clayton Powell Jr. Boulevard	148	42439225	40.8235986,-73.9377556
Adam Clayton Powell Jr. Boulevard	149	2141026509	40.8241529,-73.937135
Adam Clayton Powell Jr. Boulevard	149	42434306	40.8242206,-73.9373
Adam Clayton Powell Jr. Boulevard	150	2141026522	40.8247731,-73.936687
Adam Clayton Powell Jr. Boulevard	150	42439927	40.8248415,-73.9368478
Adam Clayton Powell Jr. Boulevard	151	42439929	40.8254654,-73.9363928
Adam Clayton Powell Jr. Boulevard	151	9150629570	40.825397,-73.9362364
Adam Clayton Powell Jr. Boulevard	153	371337226	40.8267401,-73.9355215
Adam Clayton Powell Jr. Boulevard	153	371337227	40.8266348,-73.9352723
Adam Clayton Powell Jr. Boulevard	155	371337239	40.8280476,-73.9345792
Adrian Avenue	225	42427939	40.8756706,-73.9128004
Adrian Avenue	227	42445578	40.877355,-73.910607
Adrian Avenue	228	42431724	40.8778412,-73.9100278
Amsterdam Avenue	100	42442552	40.7966412,-73.9684577
Amsterdam Avenue	101	42442555	40.7972412,-73.9680189
Amsterdam Avenue	102	42442557	40.7978705,-73.9675624
Amsterdam Avenue	103	42442559	40.7985077,-73.9671272
Amsterdam Avenue	104	42442561	40.7991346,-73.9666553
Amsterdam Avenue	105	42437918	40.7997657,-73.9662021
Amsterdam Avenue	106	42421741	40.8004295,-73.9656909
Amsterdam Avenue	107	42432756	40.8011081,-73.9651949
Amsterdam Avenue	108	42442565	40.8017333,-73.9647404
Amsterdam Avenue	109	42442567	40.8023702,-73.9642763
Amsterdam Avenue	110	42442569	40.8029617,-73.963849
Amsterdam Avenue	111	42442571	40.8036319,-73.9633898
Amsterdam Avenue	112	42437222	40.8042605,-73.9629314
Amsterdam Avenue	113	6166969757	40.8048929,-73.9624703
Amsterdam Avenue	114	1506445711	40.8055262,-73.9620084
Amsterdam Avenue	115	42442575	40.8061528,-73.9615515
Amsterdam Avenue	116	42437142	40.8068316,-73.9610565
Amsterdam Avenue	118	42442577	40.8081275,-73.960109
Amsterdam Avenue	119	42442578	40.8087553,-73.9596506
Amsterdam Avenue	120	1504153626	40.8093443,-73.959211
Amsterdam Avenue	121	3579432161	40.8100023,-73.958727
Amsterdam Avenue	122	3579432162	40.8106334,-73.9582686
Amsterdam Avenue	123	42438928	40.8112717,-73.957805
Amsterdam Avenue	125	42442584	40.8133809,-73.9562717
Amsterdam Avenue	126	42442586	40.8141405,-73.9556965
Amsterdam Avenue	128	42442589	40.8144827,-73.9554444
Amsterdam Avenue	129	42442592	40.8151098,-73.9550004
Amsterdam Avenue	130	42442596	40.8157354,-73.9545419
Amsterdam Avenue	131	42438247	40.8163558,-73.9540766
Amsterdam Avenue	133	42434098	40.8175891,-73.9531759
Amsterdam Avenue	134	42435997	40.8182343,-73.9527209
Amsterdam Avenue	135	42438836	40.818932,-73.9522115
Amsterdam Avenue	136	42442604	40.8195669,-73.9517315
Amsterdam Avenue	138	42435940	40.8208228,-73.9508143
Amsterdam Avenue	139	42442609	40.8214397,-73.9503643
Amsterdam Avenue	140	42433797	40.8220613,-73.9499097
Amsterdam Avenue	141	42442613	40.8226821,-73.9494564
Amsterdam Avenue	142	42438292	40.8233158,-73.9489935
Amsterdam Avenue	143	42442618	40.8239409,-73.9485422
Amsterdam Avenue	144	42442621	40.8245499,-73.9480922
Amsterdam Avenue	145	42434262	40.825238,-73.9475961
Amsterdam Avenue	146	42442625	40.825901,-73.9471053
Amsterdam Avenue	147	42442628	40.8265263,-73.9466483
Amsterdam Avenue	148	42439213	40.8271519,-73.9461917
Amsterdam Avenue	149	42434340	40.8277796,-73.9457333
Amsterdam Avenue	150	42442635	40.8283947,-73.9452839
