i,j,Street1,Street2,Borough,Lat,Lon
,,4th Avenue,East 58th Street,Manhattan,40.76228,-73.97035
,,4th Avenue,East 15th Street,Manhattan,40.735329028243704,-73.98989860612646
,,4th Avenue,East 16th Street,Manhattan,40.73598,-73.98944
,,4th Avenue,East 17th Street,Manhattan,40.736558937552104,-73.98901078767688
,,4th Avenue,East 19th Street,Manhattan,40.73772663202958,-73.98816346044991
,,4th Avenue,East 20th Street,Manhattan,40.73831700043797,-73.9877240442089
,,4th Avenue,East 21st Street,Manhattan,40.73891518038669,-73.98730356947576
,,4th Avenue,East 22nd Street,Manhattan,40.73952858127166,-73.98682113963423
,,4th Avenue,East 23rd Street,Manhattan,40.74021,-73.9864
,,4th Avenue,East 24th Street,Manhattan,40.74086,-73.98593
,,4th Avenue,East 25th Street,Manhattan,40.74148,-73.98546
,,4th Avenue,East 26th Street,Manhattan,40.7421,-73.985
,,4th Avenue,East 27th Street,Manhattan,40.74273,-73.98458
,,4th Avenue,East 28th Street,Manhattan,40.74332,-73.9841
,,4th Avenue,East 29th Street,Manhattan,40.74395,-73.98364
,,4th Avenue,East 30th Street,Manhattan,40.74458,-73.98317
,,4th Avenue,East 31st Street,Manhattan,40.74517,-73.98275
,,4th Avenue,East 32nd Street,Manhattan,40.74579,-73.98228
,,4th Avenue,East 33rd Street,Manhattan,40.74641,-73.98184
,,4th Avenue,East 34th Street,Manhattan,40.74709,-73.98136
,,4th Avenue,East 35th Street,Manhattan,40.74774,-73.98086
,,4th Avenue,East 36th Street,Manhattan,40.74838,-73.9804
,,4th Avenue,East 37th Street,Manhattan,40.74898,-73.97995
,,4th Avenue,East 38th Street,Manhattan,40.74963,-73.97948
,,4th Avenue,East 39th Street,Manhattan,40.75023,-73.97904
,,4th Avenue,East 40th Street,Manhattan,40.75084,-73.97859
,,4th Avenue,East 41st Street,Manhattan,40.75147,-73.97814
,,4th Avenue,East 42nd Street,Manhattan,40.75212,-73.97767
,,4th Avenue,East 43rd Street,Manhattan,40.75281,-73.97718
,,4th Avenue,East 44th Street,Manhattan,40.75341,-73.97671
,,4th Avenue,East 45th Street,Manhattan,40.75409,-73.97629
,,4th Avenue,East 46th Street,Manhattan,40.75468,-73.97579
,,4th Avenue,East 47th Street,Manhattan,40.7553,-73.97532
,,4th Avenue,East 48th Street,Manhattan,40.75591,-73.97486
,,4th Avenue,East 49th Street,Manhattan,40.75652,-73.97442
,,4th Avenue,East 50th Street,Manhattan,40.75716,-73.97395
,,4th Avenue,East 51st Street,Manhattan,40.75779,-73.97351
,,4th Avenue,East 52nd Street,Manhattan,40.75843,-73.97305
,,4th Avenue,East 53rd Street,Manhattan,40.75906,-73.97262
,,4th Avenue,East 54th Street,Manhattan,40.75969,-73.97217
,,4th Avenue,East 55th Street,Manhattan,40.76032,-73.97171
,,4th Avenue,East 56th Street,Manhattan,40.76095,-73.97125
,,4th Avenue,East 57th Street,Manhattan,40.76163,-73.97077
,,4th Avenue,East 60th Street,Manhattan,40.76356,-73.96934
,,4th Avenue,East 61st Street,Manhattan,40.76416,-73.96894
,,4th Avenue,East 62nd Street,Manhattan,40.76481,-73.96843
,,4th Avenue,East 63rd Street,Manhattan,40.7654,-73.96798
,,4th Avenue,East 64th Street,Manhattan,40.76604,-73.96751
,,4th Avenue,East 65th Street,Manhattan,40.76665,-73.96706
,,4th Avenue,East 66th Street,Manhattan,40.76731,-73.96662
,,4th Avenue,East 67th Street,Manhattan,40.76794,-73.96617
,,4th Avenue,East 68th Street,Manhattan,40.76854,-73.96571
,,4th Avenue,East 69th Street,Manhattan,40.76914,-73.96525
,,4th Avenue,East 70th Street,Manhattan,40.76981,-73.96478
,,4th Avenue,East 71st Street,Manhattan,40.77044,-73.96434
,,4th Avenue,East 72nd Street,Manhattan,40.77113,-73.96384
,,4th Avenue,East 6th Street,Manhattan,40.728503037779454,-73.99111982261543
,,Cliff Street,Hague Street,Manhattan,40.71035,-74.00194
,,Cliff Street,Frankfort Street,Manhattan,40.710135,-74.002125
,,Frankfort Street,Jacob Street,Manhattan,40.71045,-74.00269
,,Gold Street,Rider's Alley,Manhattan,40.70867,-74.006
,,Gold Street,John Street,Manhattan,40.70822,-74.00655
,,Duane Street,Rose Street,Manhattan,40.71172,-74.00207
,,Duane Street,Reade Street,Manhattan,40.71308,-74.00296
,,City Hall Place,Duane Street,Manhattan,40.71337,-74.00307
,,Duane Street,Elm Street,Manhattan,40.71456,-74.004
,,Duane Street,Park Street,Manhattan,40.71396,-74.0033
,,James Slip,James Street,Manhattan,40.70997,-73.99811
,,East Broadway,Sheriff Street,Manhattan,40.71474,-73.98253
,,East Broadway,Gouverneur Street,Manhattan,40.71456,-73.98406
,,East Broadway,Scammel Street,Manhattan,40.71461,-73.98344
,,Centre Street,Tryon Row,Manhattan,40.71269,-74.00448
,,Centre Street,City Hall Place,Manhattan,40.71311,-74.00405
,,Centre Street,Park Street,Manhattan,40.71396,-74.0033
,,Centre Street,Franklin Street,Manhattan,40.71636,-74.00125
,,Centre Street,Marion Street,Manhattan,40.72084,-73.99765
,,Division Street,Jefferson Street,Manhattan,40.71465,-73.9888
,,Clinton Street,Division Street,Manhattan,40.71477,-73.98728
,,Clinton Street,Hester Street,Manhattan,40.71477,-73.98728
,,Clinton Street,Delancy Street,Manhattan,40.71794,-73.98567
,,Avenue B,East 15th Street,Manhattan,40.73013705845237,-73.97755589420242
,,Avenue B,East 16th Street,Manhattan,40.73075905357544,-73.97711233366233
,,Avenue B,East 17th Street,Manhattan,40.731365270304764,-73.97667952566277
,,Avenue B,East 18th Street,Manhattan,40.73193292539305,-73.97626597874077
,,Avenue B,East 71st Street,Manhattan,40.76518,-73.95189
,,Avenue B,East 72nd Street,Manhattan,40.76586,-73.95137
,,Avenue B,East 1st Street,Manhattan,40.72136977888948,-73.98388955141868
,,Houston Street,Manhattan Street,Manhattan,40.719674995652795,-73.97793155217538
,,Houston Street,Sheriff Street,Manhattan,40.72017469627042,-73.97967785517025
,,Hamersley Street,Houston Street,Manhattan,40.72832,-74.00249
,,Bedford Street,Houston Street,Manhattan,40.72849,-74.00284
,,Houston Street,Willet Street,Manhattan,40.72037,-73.98058
,,Cannon Street,Houston Street,Manhattan,40.719612198740435,-73.97799773956632
,,Houston Street,Lewis Street,Manhattan,40.71938281241326,-73.97716810776706
,,Goerck Street,Houston Street,Manhattan,40.719118251991816,-73.97633597849276
,,Houston Street,Laurens Street,Manhattan,40.72701,-73.99982
,,Depau Place,Houston Street,Manhattan,40.72739,-74.00058
,,Houston Street,Varick Place,Manhattan,40.72775,-74.00131
,,Houston Street,Saint Clements Place,Manhattan,40.72812,-74.00206
,,Hancock Street,Houston Street,Manhattan,40.72849,-74.00284
,,Houston Street,Willett Street,Manhattan,40.72036143295859,-73.98055199236462
,,Cannon Street,Manhattan Street,Manhattan,40.71961569325126,-73.97799600321235
,,3rd Street,Manhattan Street,Manhattan,40.72033379592042,-73.97745598337576
,,East 2nd Street,Manhattan Street,Manhattan,40.71969842120767,-73.97791316062033
,,East Houston Street,Manhattan Street,Manhattan,40.719626140629856,-73.97798617214207
,,Grand Street,Sheriff Street,Manhattan,40.71474,-73.98253
,,Broome Street,Sheriff Street,Manhattan,40.71565,-73.98206
,,Rivington Street,Sheriff Street,Manhattan,40.71779851143752,-73.98088356879055
,,Sheriff Street,Stanton Street,Manhattan,40.71896936286119,-73.9802909468523
,,Delancy Street,Sheriff Street,Manhattan,40.71666,-73.9815
,,2nd Street,Sheriff Street,Manhattan,40.72038,-73.97956
,,East Houston Street,Sheriff Street,Manhattan,40.7201336054717,-73.9797053045183
,,Bedford Street,Hamersley Street,Manhattan,40.72841,-74.00317
,,Congress Street,Hamersley Street,Manhattan,40.72841,-74.00317
,,Hamersley Street,Hudson Street,Manhattan,40.72876,-74.00707
,,Hamersley Street,Varick Street,Manhattan,40.72861,-74.00536
,,Hamersley Street,Hancock Street,Manhattan,40.72841,-74.00317
,,Bedford Street,Congress Street,Manhattan,40.72841,-74.00317
,,Bedford Street,Hancock Street,Manhattan,40.728449999999995,-74.003005
,,Congress Street,King Street,Manhattan,40.72766,-74.00327
,,Congress Street,Hancock Street,Manhattan,40.72841,-74.00317
,,City Hall Place,Reade Street,Manhattan,40.71332,-74.00326
,,Manhattan Place,Reade Street,Manhattan,40.71442,-74.00531
,,Elm Street,Reade Street,Manhattan,40.71402,-74.00445
,,Elm Street,Manhattan Place,Manhattan,40.71431,-74.00423
,,Mangin Street,Manhattan Place,Manhattan,40.7162,-73.97691
,,Elm Street,Grand Street,Manhattan,40.72009,-73.99911
,,Canal Street,Elm Street,Manhattan,40.71843,-74.00056
,,Elm Street,Franklin Street,Manhattan,40.71674,-74.00208
,,Elm Street,Worth Street,Manhattan,40.71561,-74.00311
,,Elm Street,Leonard Street,Manhattan,40.71618,-74.00263
,,Elm Street,White Street,Manhattan,40.71731,-74.00157
,,Elm Street,Howard Street,Manhattan,40.7192,-73.99981
,,Elm Street,Walker Street,Manhattan,40.71795,-74.00102
,,Catherine Lane,Elm Street,Manhattan,40.71592,-74.00286
,,Broome Street,Elm Street,Manhattan,40.72108,-73.99824
,,Elm Street,Spring Street,Manhattan,40.72235,-73.99715
,,Henry Street,Scammel Street,Manhattan,40.714,-73.98335
,,Cannon Street,Henry Street,Manhattan,40.71423,-73.98088
,,Division Street,Montgomery Street,Manhattan,40.71492,-73.98537
,,Division Street,Gouverneur Street,Manhattan,40.71502,-73.98412
,,Grand Street,Scammel Street,Manhattan,40.71497,-73.98338
,,Scammel Street,Willet Street,Manhattan,40.71497,-73.98338
,,Corlears Street,Grand Street,Manhattan,40.71357,-73.97858
,,East Street,Grand Street,Manhattan,40.71301,-73.97657
,,Broome Street,East Street,Manhattan,40.71396,-73.97612
,,Delancy Slip,East Street,Manhattan,40.714960000000005,-73.975585
,,East Street,Rivington Street,Manhattan,40.7161,-73.97498
,,Division Street,Grand Street,Manhattan,40.71505,-73.98367
,,Attorney Street,Grand Street,Manhattan,40.7157,-73.98583
,,Grand Street,Ridge Street,Manhattan,40.71545,-73.98502
,,Grand Street,Willet Street,Manhattan,40.71497,-73.98338
,,Cannon Street,Grand Street,Manhattan,40.71423,-73.98088
,,Goerck Street,Grand Street,Manhattan,40.71373,-73.97917
,,Grand Street,Mangin Street,Manhattan,40.71353,-73.97827
,,Grand Street,Tompkins Street,Manhattan,40.71331,-73.97745
,,Grand Street,Laurens Street,Manhattan,40.72236,-74.00374
,,Amity Street,Sullivan Street,Manhattan,40.73005,-73.99936
,,Canal Street,Vestry Street,Manhattan,40.72243,-74.00613
,,Canal Street,Hoboken Street,Manhattan,40.72515,-74.01003
,,Canal Street,Thompson Street,Manhattan,40.72178,-74.00525
,,Canal Street,Laurens Street,Manhattan,40.72131,-74.00462
,,Hudson Street,Watts Street,Manhattan,40.72396,-74.00791
,,Division Street,Essex Street,Manhattan,40.71454,-73.99028
,,Bavard Street,Division Street,Manhattan,40.71426,-73.99429
,,Division Street,Hester Street,Manhattan,40.71477,-73.98728
,,Division Street,Suffolk Street,Manhattan,40.7147,-73.98829
,,Division Street,Norfolk Street,Manhattan,40.71462,-73.98929
,,Attorney Street,Division Street,Manhattan,40.71485,-73.98626
,,Division Street,Ridge Street,Manhattan,40.71492,-73.98528
,,Division Street,Pitt Street,Manhattan,40.71501,-73.98432
,,Chrystie Street,Division Street,Manhattan,40.71414,-73.99594
,,Delancy Street,Essex Street,Manhattan,40.7187,-73.98817
,,Essex Market Place,Essex Street,Manhattan,40.71709,-73.989
,,Delancy Street,Eldridge Street,Manhattan,40.71962,-73.99122
,,Bavard Street,Baxter Street,Manhattan,40.71622,-74.00012
,,Bavard Street,Mott Street,Manhattan,40.71561,-73.99851
