SPECIFIC_MATERIAL_TYPE,SOURCE_DESCRIPTION,STANDARD_REFERENCE,CREATOR,ITEM_PAGE_PLATE,IMAGE_Permalink,DIGITAL_ID,SOURCE,LOCATION,ALTERNATE_TITLE,PUBLISHED_DATE,RECORD_ID,Borough,Address,Full Address,IMAGE_TITLE,IMG_URL,CREATED_DATE,DEPICTED_DATE,MEDIUM,ITEM_PHYSICAL_DESCRIPTION,CREATED_DATES,ALTERNATE_SOURCE_TITLE
,,1346-C12; 1346-C10,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?731681f,731681f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 106th Street -1st Avenue ; 319-339 East 106th Street.],,421501,,," 319-339 East 106th Street, Manhattan, N.Y.",Feast of Saint Anthony of Padua.,http://images.nypl.org/index.php?id=731681f&t=w,"1928; 

							

								September 1928",,,,,
printed_text,"298, ii p. : ill., plans ; 35 cm.",,,262,http://digitalgallery.nypl.org/nypldigital/id?465686,465686,Apartment houses of the metropolis.,"Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",,,287352,,," 320-324 West 96th Street, Manhattan, NY","Arnold and Fulton Halls, 320-324 West 96th Street; Plan of first floor; Plan of upper floors.",http://images.nypl.org/index.php?id=465686&t=w,,,,,,
,,1279-E6; 1279-E8; 1279-E7,,,http://digitalgallery.nypl.org/nypldigital/id?730243f,730243f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 34th Street ; 321 East 34th Street - Harriet Hubbard Ayer Building ; Empire State Building ; Metropolitan Life Insurance Company ; New York Life Insurance Company.],,420063,,," 321 East 34th Street, Manhattan, N.Y.",General view - East 34th Street - Northwest.,http://images.nypl.org/index.php?id=730243f&t=w,1929,,,,,
,,1346-F2; 1346-E10,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?731688f,731688f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 106th Street - 1st Avenue ; 323 East 106th Street.],,421508,,," 323 East 106th Street, Manhattan, N.Y.",Feast of Saint Anthony of Padua.,http://images.nypl.org/index.php?id=731688f&t=w,1930,,,,,
,,1380-E3; 1380-E5; 1380-E4,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?732457f,732457f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 11th Street (East) ; 325 East 11th Street.],,422277,,," 325 East 11th Street, Manhattan, N.Y.",Occupations - Peddlers - Foodstuffs - Poultry.,http://images.nypl.org/index.php?id=732457f&t=w,"1934; 

							

								1935",,,,,
,,1375-E5,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?732337f,732337f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 11th Street (East) ; 331 East 11th Street.],,422157,,," 331 East 11th Street, Manhattan, N.Y.",Occupations - Peddlers - Clothing - Dry goods.,http://images.nypl.org/index.php?id=732337f&t=w,1934,,,,,
,,1278-A1; 1278-A3; 1278-A2,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?730197f,730197f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 5th Avenue - 33rd Street ; 350 5th Avenue - Empire State Building ; Fifth Avenue Building ; New York Public Library.],,420017,,," 350 5th Avenue - Empire State Building , Manhattan, N.Y.",General view - 5th Avenue - West.,http://images.nypl.org/index.php?id=730197f&t=w,1931,,,,,
,,1278-A6; 1278-A9; 1278-A8; 1278-A7,"Allison, J. W.--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?730199f,730199f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 5th Avenue - 33rd Street ; 350 5th Avenue - Empire State Building ; Metropolitan Life Insurance Company.],,420019,,," 350 5th Avenue - Empire State Building , Manhattan, N.Y.",General view - 5th Avenue - West.,http://images.nypl.org/index.php?id=730199f&t=w,n.d,,,,,
,,1278-A5; 1278-A4,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?730198f,730198f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 5th Avenue - 33rd Street ; 350 5th Avenue - Empire State Building ; New York Daily News.],,420018,,," 350 5th Avenue - Empire State Building , Manhattan, N.Y.",General view - 5th Avenue - East.,http://images.nypl.org/index.php?id=730198f&t=w,1931,,,,,
,,1277-F4,"Abbott, Berenice,1898-1991--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?730196f,730196f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 5th Avenue - 33rd Street ; 350 5th Avenue.],,420015,,," 350 5th Avenue - Empire State Building , Manhattan, N.Y.",General view - 5th Avenue - Empire State Building.,http://images.nypl.org/index.php?id=730196f&t=w,1929?,,,,,
,,1383-B4; 1383-B3,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?732519f,732519f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Chambers Street - Church Street ; 350 Bowery.],,422339,,," 350 Bowery, Manhattan, N.Y.",Occupations - Peddlers - Hardware.,http://images.nypl.org/index.php?id=732519f&t=w,1935,,,,,
,,1375-F1,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?732338f,732338f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 114th Street (East) ; 355 East 114th Street.],,422158,,," 355 East 114th Street, Manhattan, N.Y.",Occupations - Peddlers - Clothing - Dry goods.,http://images.nypl.org/index.php?id=732338f&t=w,1934,,,,,
,,1403-D4; 1403-D3,,,http://digitalgallery.nypl.org/nypldigital/id?733007f,733007f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 116th Street (West) ; 356 West 116th Street.],,422827,,," 356 West 116th Street, Manhattan, N.Y.","Social conditions - [Tenement conditions - NYC Housing Authority, Slum Clearance program.]",http://images.nypl.org/index.php?id=733007f&t=w,1935,,,,,
,,1403-D5,,,http://digitalgallery.nypl.org/nypldigital/id?733008f,733008f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: 116th Street (West) ; 356 West 116th Street.],,422828,,," 356 West 116th Street, Manhattan, N.Y.","Social conditions - [Tenement conditions - NYC Housing Authority, Slum Clearance program.]",http://images.nypl.org/index.php?id=733008f&t=w,1935,,,,,
,,1419-C7; 1419-C9; 1419-C8,"Sperr, Percy Loomis,1890-1964--Photographer",,http://digitalgallery.nypl.org/nypldigital/id?733360f,733360f,"Photographic views of New York City, 1870's-1970's / Topics","Stephen A. Schwarzman Building/Irma and Paul Milstein Division of United States History, Local History and Genealogy",[Manhattan: Hudson Street - King Street ; 367-381 Hudson Street.],,423180,,," 367-381 Hudson Street, Manhattan, N.Y.","Thanksgiving ragamuffins, No.31-33.",http://images.nypl.org/index.php?id=733360f&t=w,1933,,,,,
