"uuid","identifier_value"
"30debf70-c53c-012f-3a5c-58d385a7bc34","708884F"
"30debf70-c53c-012f-3a5c-58d385a7bc34","708884B"
"313fa340-c53c-012f-938c-58d385a7bc34","708885F"
"313fa340-c53c-012f-938c-58d385a7bc34","708885B"
"3282c670-c53c-012f-267d-58d385a7bc34","708888F"
"3282c670-c53c-012f-267d-58d385a7bc34","708888B"
"32dc03f0-c53c-012f-2cff-58d385a7bc34","708889F"
"33606e70-c53c-012f-23ca-58d385a7bc34","708890F"
"343a0710-c53c-012f-aaf1-58d385a7bc34","708892F"
"343a0710-c53c-012f-aaf1-58d385a7bc34","708892B"
"35801ca0-c53c-012f-34b2-58d385a7bc34","708895F"
"3663d010-c53c-012f-0828-58d385a7bc34","708897B"
"36bcba00-c53c-012f-760a-58d385a7bc34","708898F"
"36bcba00-c53c-012f-760a-58d385a7bc34","708898B"
"37f0b800-c53c-012f-4ccf-58d385a7bc34","708901F"
"37f0b800-c53c-012f-4ccf-58d385a7bc34","708901B"
"3862e510-c53c-012f-2932-58d385a7bc34","708902F"
"3862e510-c53c-012f-2932-58d385a7bc34","708902B"
"49927cb0-c52f-012f-d291-58d385a7bc34","700455F"
"49e48280-c52f-012f-6516-58d385a7bc34","700456F"
"49e48280-c52f-012f-6516-58d385a7bc34","700456B"
"4a41ae60-c52f-012f-57e4-58d385a7bc34","700457F"
"4c536ea0-c53b-012f-e94c-58d385a7bc34","708323B"
"4a9e04e0-c52f-012f-22d5-58d385a7bc34","700458B"
"4d0949a0-c53b-012f-e4ac-58d385a7bc34","708325F"
"4b503e80-c52f-012f-a39a-58d385a7bc34","700460F"
"4b503e80-c52f-012f-a39a-58d385a7bc34","700460B"
"4db96640-c53b-012f-d015-58d385a7bc34","708327B"
"4bfd80e0-c52f-012f-ee97-58d385a7bc34","700462F"
"4e054b20-c53b-012f-6f00-58d385a7bc34","708328F"
"4bfd80e0-c52f-012f-ee97-58d385a7bc34","700462B"
"4c639a90-c52f-012f-5588-58d385a7bc34","700463F"
"4eb4d7b0-c53b-012f-dc5f-58d385a7bc34","708330F"
"4cae5180-c52f-012f-c648-58d385a7bc34","700464F"
"4eb4d7b0-c53b-012f-dc5f-58d385a7bc34","708330B"
"4cae5180-c52f-012f-c648-58d385a7bc34","700464B"
"507439f0-c53b-012f-0fac-58d385a7bc34","708334B"
"4cffee20-c52f-012f-5494-58d385a7bc34","700465B"
"4d5046e0-c52f-012f-edca-58d385a7bc34","700466B"
"52af0b60-c53b-012f-6845-58d385a7bc34","708339B"
"4daf2090-c52f-012f-a789-58d385a7bc34","700467B"
"4e1a1ff0-c52f-012f-094f-58d385a7bc34","700468F"
"530dbde0-c53b-012f-1715-58d385a7bc34","708340F"
"0daa2360-c530-012f-20a2-58d385a7bc34","701019F"
"4e1a1ff0-c52f-012f-094f-58d385a7bc34","700468B"
"4ed13b80-c52f-012f-23b4-58d385a7bc34","700470F"
"0daa2360-c530-012f-20a2-58d385a7bc34","701019B"
"4f2bf2b0-c52f-012f-16f2-58d385a7bc34","700471F"
"4f2bf2b0-c52f-012f-16f2-58d385a7bc34","700471B"
"0e085c70-c530-012f-cd89-58d385a7bc34","701020F"
"4f76edc0-c52f-012f-ba83-58d385a7bc34","700472F"
"0e5e9690-c530-012f-72e0-58d385a7bc34","701021B"
"4f76edc0-c52f-012f-ba83-58d385a7bc34","700472B"
"0f0cff40-c530-012f-a70c-58d385a7bc34","701023F"
"50291030-c52f-012f-05f3-58d385a7bc34","700474F"
"50291030-c52f-012f-05f3-58d385a7bc34","700474B"
"0f5940e0-c530-012f-bed4-58d385a7bc34","701024F"
"508fc3a0-c52f-012f-4e52-58d385a7bc34","700475B"
"0f5940e0-c530-012f-bed4-58d385a7bc34","701024B"
"50e247a0-c52f-012f-e0ad-58d385a7bc34","700476B"
"0fb881d0-c530-012f-ac00-58d385a7bc34","701025B"
"513f1460-c52f-012f-4576-58d385a7bc34","700477F"
"51af58e0-c52f-012f-7590-58d385a7bc34","700478F"
"0ffc9550-c530-012f-035f-58d385a7bc34","701026F"
"51af58e0-c52f-012f-7590-58d385a7bc34","700478B"
"10f97eb0-c530-012f-245f-58d385a7bc34","701029F"
"5200ec60-c52f-012f-61e8-58d385a7bc34","700479F"
"52691330-c52f-012f-68ed-58d385a7bc34","700480F"
"1156f280-c530-012f-ce91-58d385a7bc34","701030F"
"1156f280-c530-012f-ce91-58d385a7bc34","701030B"
"53858730-c52f-012f-251d-58d385a7bc34","700482B"
"11a03a10-c530-012f-8364-58d385a7bc34","701031F"
"557645f0-c52f-012f-dd45-58d385a7bc34","700487F"
"125bff60-c530-012f-268a-58d385a7bc34","701033B"
"557645f0-c52f-012f-dd45-58d385a7bc34","700487B"
"12a532c0-c530-012f-dbaa-58d385a7bc34","701034F"
"0cb6ed80-c530-012f-fab4-58d385a7bc34","701016F"
"130c98b0-c530-012f-5239-58d385a7bc34","701035F"
"0d00e3e0-c530-012f-075a-58d385a7bc34","701017F"
"0d00e3e0-c530-012f-075a-58d385a7bc34","701017B"
"13b98a40-c530-012f-3f84-58d385a7bc34","701037F"
"0d639030-c530-012f-f106-58d385a7bc34","701018F"
"13b98a40-c530-012f-3f84-58d385a7bc34","701037B"
"141b4810-c530-012f-762b-58d385a7bc34","701038F"
"14691240-c530-012f-77ca-58d385a7bc34","701039F"
"15d97aa0-c530-012f-a781-58d385a7bc34","701043F"
"14691240-c530-012f-77ca-58d385a7bc34","701039B"
"14ca3a60-c530-012f-2ab2-58d385a7bc34","701040B"
"168fcc50-c530-012f-34ff-58d385a7bc34","701045F"
"168fcc50-c530-012f-34ff-58d385a7bc34","701045B"
"1529d9f0-c530-012f-174b-58d385a7bc34","701041B"
"173e8d90-c530-012f-16bd-58d385a7bc34","701047F"
"15756470-c530-012f-6bf8-58d385a7bc34","701042F"
"e764e9c0-c530-012f-5b9e-58d385a7bc34","701593F"
"e162b420-c530-012f-d4e5-58d385a7bc34","701577F"
"e162b420-c530-012f-d4e5-58d385a7bc34","701577B"
"e1d4b7b0-c530-012f-0b84-58d385a7bc34","701578B"
"e7c535e0-c530-012f-dfe2-58d385a7bc34","701594B"
"e22f33e0-c530-012f-6e3f-58d385a7bc34","701579F"
"e2a18c60-c530-012f-9562-58d385a7bc34","701580F"
"e80c9d00-c530-012f-a9ff-58d385a7bc34","701595F"
"e30eef60-c530-012f-ba21-58d385a7bc34","701581B"
"e80c9d00-c530-012f-a9ff-58d385a7bc34","701595B"
"e35dd300-c530-012f-ec4f-58d385a7bc34","701582F"
"e86dbc00-c530-012f-6004-58d385a7bc34","701596F"
"e3c37620-c530-012f-1272-58d385a7bc34","701583B"
"e8d09b60-c530-012f-cb6c-58d385a7bc34","701597F"
"e417c730-c530-012f-8d82-58d385a7bc34","701584F"
"e928da30-c530-012f-adda-58d385a7bc34","701598B"
"e417c730-c530-012f-8d82-58d385a7bc34","701584B"
"e477cbf0-c530-012f-a151-58d385a7bc34","701585F"
"e99a6a80-c530-012f-78f7-58d385a7bc34","701600B"
"e4cfa100-c530-012f-b8f2-58d385a7bc34","701586F"
"ea028150-c530-012f-d56f-58d385a7bc34","701599F"
"e5371080-c530-012f-4b90-58d385a7bc34","701587F"
"ea4ad560-c530-012f-dbdf-58d385a7bc34","701601F"
"e5371080-c530-012f-4b90-58d385a7bc34","701587B"
"e5884190-c530-012f-0045-58d385a7bc34","701588F"
"ea4ad560-c530-012f-dbdf-58d385a7bc34","701601B"
"e5f31100-c530-012f-89b6-58d385a7bc34","701589F"
"eaac2e10-c530-012f-1c2d-58d385a7bc34","701602F"
"e65d0410-c530-012f-1ccb-58d385a7bc34","701590F"
"eb07bd20-c530-012f-b51a-58d385a7bc34","701603F"
"e6ae9060-c530-012f-9674-58d385a7bc34","701591B"
"eb07bd20-c530-012f-b51a-58d385a7bc34","701603B"
"e7181a30-c530-012f-cef2-58d385a7bc34","701592F"
"eb56e2f0-c530-012f-4e0f-58d385a7bc34","701604F"
"eb56e2f0-c530-012f-4e0f-58d385a7bc34","701604B"
"ebc2ded0-c530-012f-c32a-58d385a7bc34","701605B"
"b891b690-c531-012f-0abe-58d385a7bc34","702162B"
"b95945c0-c531-012f-2db3-58d385a7bc34","702164F"
"b9bfedf0-c531-012f-b3af-58d385a7bc34","702165F"
"ba16c660-c531-012f-6b3b-58d385a7bc34","702166F"
"baf57fb0-c531-012f-e935-58d385a7bc34","702168B"
"bb4a30c0-c531-012f-ef92-58d385a7bc34","702169F"
"bbb82bb0-c531-012f-dc8e-58d385a7bc34","702170F"
"bbb82bb0-c531-012f-dc8e-58d385a7bc34","702170B"
"bc0d9f30-c531-012f-6ded-58d385a7bc34","702171B"
"bc7989b0-c531-012f-ee22-58d385a7bc34","702172F"
"bc7989b0-c531-012f-ee22-58d385a7bc34","702172B"
"bcecb1f0-c531-012f-b7e4-58d385a7bc34","702173B"
"bd53f280-c531-012f-df58-58d385a7bc34","702174F"
"bdc30cd0-c531-012f-d0f9-58d385a7bc34","702175F"
"ec76c660-c530-012f-7f9b-58d385a7bc34","701607F"
"be2d5250-c531-012f-d346-58d385a7bc34","702176F"
"ec76c660-c530-012f-7f9b-58d385a7bc34","701607B"
"beec7980-c531-012f-bc11-58d385a7bc34","702178B"
"ed9e4c30-c530-012f-3958-58d385a7bc34","701610F"
"bf3367c0-c531-012f-82c4-58d385a7bc34","702179F"
"bf3367c0-c531-012f-82c4-58d385a7bc34","702179B"
"ed9e4c30-c530-012f-3958-58d385a7bc34","701610B"
"bf833a20-c531-012f-d0e0-58d385a7bc34","702180B"
"b6ac78b0-c531-012f-7aed-58d385a7bc34","702157F"
"c0361350-c531-012f-9bc2-58d385a7bc34","702182F"
"b711e580-c531-012f-a56a-58d385a7bc34","702158B"
"c095dd50-c531-012f-5ceb-58d385a7bc34","702183F"
"b7c02170-c531-012f-6461-58d385a7bc34","702160F"
"c095dd50-c531-012f-5ceb-58d385a7bc34","702183B"
"b7c02170-c531-012f-6461-58d385a7bc34","702160B"
"c1a03910-c531-012f-2bbd-58d385a7bc34","702186F"
"c1f2d780-c531-012f-7912-58d385a7bc34","702187F"
"c1a03910-c531-012f-2bbd-58d385a7bc34","702186B"
"c1f2d780-c531-012f-7912-58d385a7bc34","702187B"
"9570f1a0-c532-012f-adb2-58d385a7bc34","702736F"
"c2575420-c531-012f-81e8-58d385a7bc34","702188F"
"9570f1a0-c532-012f-adb2-58d385a7bc34","702736B"
"95e2e160-c532-012f-a949-58d385a7bc34","702737F"
"c3179510-c531-012f-0e26-58d385a7bc34","702190F"
"95e2e160-c532-012f-a949-58d385a7bc34","702737B"
"c3179510-c531-012f-0e26-58d385a7bc34","702190B"
"9658dc20-c532-012f-88fa-58d385a7bc34","702738F"
"8e47aa20-c532-012f-68b0-58d385a7bc34","702717F"
"972c15b0-c532-012f-c868-58d385a7bc34","702740F"
"8e47aa20-c532-012f-68b0-58d385a7bc34","702717B"
"8ead4ae0-c532-012f-4568-58d385a7bc34","702718B"
"97949180-c532-012f-f973-58d385a7bc34","702741B"
"981cd1a0-c532-012f-6d4b-58d385a7bc34","702742F"
"981cd1a0-c532-012f-6d4b-58d385a7bc34","702742B"
