judgment,notes,photo_id,title,url
Meh,,729121f-b,Richmond: Manor Road - Kent Avenue,http://digitalgallery.nypl.org/nypldigital/id?729121f
Meh,,716700f-a,Manhattan: Bleecker Street - Cornelia Street,http://digitalgallery.nypl.org/nypldigital/id?716700f
Meh,,707612f-b,Manhattan: 1st Ave. - 46th St.,http://digitalgallery.nypl.org/nypldigital/id?707612f
Meh,,719262f-b,Manhattan: Delancey Street - Forsyth Street,http://digitalgallery.nypl.org/nypldigital/id?719262f
Meh,,717449f,Manhattan: Broadway - 38th Street,http://digitalgallery.nypl.org/nypldigital/id?717449f
Great,,733525f,Transportation - Trolley - Horse drawn street car.,http://digitalgallery.nypl.org/nypldigital/id?733525f
Meh,,726794f-a,Queens: Grand Central Parkwa - Parsons Boulevard,http://digitalgallery.nypl.org/nypldigital/id?726794f
Meh,,700881f-c,Bronx: Gun Hill Road (East) - Perry Avenue,http://digitalgallery.nypl.org/nypldigital/id?700881f
Meh,,705492f-a,Brooklyn: Lorimer Street - Bayard Street,http://digitalgallery.nypl.org/nypldigital/id?705492f
Meh,,731393f-a,Circuses,http://digitalgallery.nypl.org/nypldigital/id?731393f
Meh,,727611f-b,Queens: Northern Boulevard - Junction Boulevard,http://digitalgallery.nypl.org/nypldigital/id?727611f
Meh,,725948f-a,Queens: 164th Street - Jamaica Avenue,http://digitalgallery.nypl.org/nypldigital/id?725948f
Meh,,704833f-c,Brooklyn: Henry Street - Love Lane,http://digitalgallery.nypl.org/nypldigital/id?704833f
Great,,713312f-b,Manhattan: 48th Street - 1st Avenue,http://digitalgallery.nypl.org/nypldigital/id?713312f
Meh,,729129f-a,Richmond: Martling Avenue - Slosson Avenue,http://digitalgallery.nypl.org/nypldigital/id?729129f
Meh,,729158f-a,Richmond: Mill Road - Old Mill Road,http://digitalgallery.nypl.org/nypldigital/id?729158f
Meh,,729290f-a,Richmond: Purdy Place - Seguine Avenue,http://digitalgallery.nypl.org/nypldigital/id?729290f
Meh,,722719f-a,Manhattan: Riverside Drive - 83rd Street,http://digitalgallery.nypl.org/nypldigital/id?722719f
Meh,,701264f-a,Bronx: Hoe Avenue - 173rd Street,http://digitalgallery.nypl.org/nypldigital/id?701264f
Meh,,700089f-c,Bronx: 143rd Street - Brook Avenue,http://digitalgallery.nypl.org/nypldigital/id?700089f
Meh,,720483f-b,Manhattan: Hudson Street - Hubert Street,http://digitalgallery.nypl.org/nypldigital/id?720483f
Meh,,726658f-a,Queens: Roosevelt Avenue - Willets Point Boulevard,http://digitalgallery.nypl.org/nypldigital/id?726658f
Meh,,727408f-a,Queens: Metropolitan Avenue - Fresh Pond Road,http://digitalgallery.nypl.org/nypldigital/id?727408f
Meh,,715283f-a,Manhattan: 123rd Street (West) - Mt. Morris Avenue,http://digitalgallery.nypl.org/nypldigital/id?715283f
Meh,,700942f-a,Bronx: Tremont Avenue (East - Silver Street,http://digitalgallery.nypl.org/nypldigital/id?700942f
Meh,,710275f-b,Manhattan: 8th Avenue - 133rd Street,http://digitalgallery.nypl.org/nypldigital/id?710275f
Meh,,720008f-c,Manhattan: Goerck Street - Rivington Street,http://digitalgallery.nypl.org/nypldigital/id?720008f
Meh,,731850f-c,Hospitals - Bellevue Hospital - [Old administration building.],http://digitalgallery.nypl.org/nypldigital/id?731850f
Meh,,725317f-b,Queens: 40th Avenue - Main Street,http://digitalgallery.nypl.org/nypldigital/id?725317f
Meh,,701031f-c,Bronx: Ferris Avenue - Randall Avenue,http://digitalgallery.nypl.org/nypldigital/id?701031f
Meh,,711336f-a,Manhattan: 15th Street - 7th Avenue,http://digitalgallery.nypl.org/nypldigital/id?711336f
Meh,,707871f-a,Manhattan: 2nd Ave. - 46th St.,http://digitalgallery.nypl.org/nypldigital/id?707871f
Meh,,726814f-a,Queens: Grand Central Parkwa - 31st Street,http://digitalgallery.nypl.org/nypldigital/id?726814f
Meh,,731961f-b,Islands - Coney Island beach - [Half-Moon Hotel - Seagate's private waterfront.],http://digitalgallery.nypl.org/nypldigital/id?731961f
Meh,,731961f-b,Islands - Coney Island beach - [Half-Moon Hotel - Seagate's private waterfront.],http://digitalgallery.nypl.org/nypldigital/id?731961f
Meh,,730951f-a,"Bridges - Queensboro [Queensborough] Bridge - [East River banks at about 50th Street, Manhattan.]",http://digitalgallery.nypl.org/nypldigital/id?730951f
Meh,,724449f-a,Manhattan: West End Avenue - 75th Street (West),http://digitalgallery.nypl.org/nypldigital/id?724449f
Meh,,709241f-a,Manhattan : 6th Avenue - Church Street at White Street.,http://digitalgallery.nypl.org/nypldigital/id?709241f
Meh,,701762f-a,Bronx: Sedgwick Avenue - University Avenue,http://digitalgallery.nypl.org/nypldigital/id?701762f
Meh,,1508731-a,Fifth Avenue #30 - 10th Street,http://digitalgallery.nypl.org/nypldigital/id?1508731
Great,,718756f-b,Manhattan: Cherry Street - Jackson Street,http://digitalgallery.nypl.org/nypldigital/id?718756f
Meh,,726613f-c,Queens: Flushing Meadow Park - [Queens Valley Golf Club.],http://digitalgallery.nypl.org/nypldigital/id?726613f
Meh,,716933f-b,Manhattan: Broadway - Battery Place,http://digitalgallery.nypl.org/nypldigital/id?716933f
Meh,,718933f-a,Manhattan: City Hall Park,http://digitalgallery.nypl.org/nypldigital/id?718933f
Meh,,730607f-c,Staten Island - Oakwood Beach - [Salt meadows.],http://digitalgallery.nypl.org/nypldigital/id?730607f
Meh,,733227f-a,Squatters Colony at the East River.,http://digitalgallery.nypl.org/nypldigital/id?733227f
Great,,718322f-b,Manhattan: 5th Avenue - 59th Street,http://digitalgallery.nypl.org/nypldigital/id?718322f
Meh,,1509153-a,"Broadway #195-256 - John Street, west side",http://digitalgallery.nypl.org/nypldigital/id?1509153
